53215	{"DP02_0068E": 3677.0, "DP02_0068PE": 10.6, "DP03_0063E": 54143.0, "DP02_0113E": 20974.0, "DP02_0113PE": 37.2, "DP02_0114E": 35449.0, "DP02_0114PE": 62.8, "DP05_0037E": 30963.0, "DP05_0037PE": 50.7, "DP05_0038E": 3720.0, "DP05_0038PE": 6.1, "DP05_0044E": 2392.0, "DP05_0044PE": 3.9, "DP05_0070E": 61028.0, "DP05_0070PE": 61028.0, "zip code tabulation area": "53215"}
53205	{"DP02_0068E": 513.0, "DP02_0068PE": 10.1, "DP03_0063E": 39073.0, "DP02_0113E": 7074.0, "DP02_0113PE": 84.4, "DP02_0114E": 1311.0, "DP02_0114PE": 15.6, "DP05_0037E": 423.0, "DP05_0037PE": 4.6, "DP05_0038E": 7433.0, "DP05_0038PE": 81.5, "DP05_0044E": 843.0, "DP05_0044PE": 9.2, "DP05_0070E": 9119.0, "DP05_0070PE": 9119.0, "zip code tabulation area": "53205"}
53225	{"DP02_0068E": 3184.0, "DP02_0068PE": 19.6, "DP03_0063E": 55643.0, "DP02_0113E": 21164.0, "DP02_0113PE": 88.6, "DP02_0114E": 2729.0, "DP02_0114PE": 11.4, "DP05_0037E": 7658.0, "DP05_0037PE": 29.4, "DP05_0038E": 14042.0, "DP05_0038PE": 53.9, "DP05_0044E": 1826.0, "DP05_0044PE": 7.0, "DP05_0070E": 26036.0, "DP05_0070PE": 26036.0, "zip code tabulation area": "53225"}
53213	{"DP02_0068E": 11530.0, "DP02_0068PE": 59.2, "DP03_0063E": 107162.0, "DP02_0113E": 24541.0, "DP02_0113PE": 94.6, "DP02_0114E": 1411.0, "DP02_0114PE": 5.4, "DP05_0037E": 23530.0, "DP05_0037PE": 84.8, "DP05_0038E": 1394.0, "DP05_0038PE": 5.0, "DP05_0044E": 1020.0, "DP05_0044PE": 3.7, "DP05_0070E": 27755.0, "DP05_0070PE": 27755.0, "zip code tabulation area": "53213"}
53212	{"DP02_0068E": 6597.0, "DP02_0068PE": 33.1, "DP03_0063E": 56240.0, "DP02_0113E": 25754.0, "DP02_0113PE": 91.1, "DP02_0114E": 2507.0, "DP02_0114PE": 8.9, "DP05_0037E": 11822.0, "DP05_0037PE": 39.3, "DP05_0038E": 15297.0, "DP05_0038PE": 50.8, "DP05_0044E": 278.0, "DP05_0044PE": 0.9, "DP05_0070E": 30115.0, "DP05_0070PE": 30115.0, "zip code tabulation area": "53212"}
53211	{"DP02_0068E": 14722.0, "DP02_0068PE": 71.9, "DP03_0063E": 102175.0, "DP02_0113E": 28551.0, "DP02_0113PE": 86.6, "DP02_0114E": 4419.0, "DP02_0114PE": 13.4, "DP05_0037E": 29035.0, "DP05_0037PE": 84.4, "DP05_0038E": 1398.0, "DP05_0038PE": 4.1, "DP05_0044E": 1864.0, "DP05_0044PE": 5.4, "DP05_0070E": 34389.0, "DP05_0070PE": 34389.0, "zip code tabulation area": "53211"}
53228	{"DP02_0068E": 3713.0, "DP02_0068PE": 33.6, "DP03_0063E": 76002.0, "DP02_0113E": 12984.0, "DP02_0113PE": 91.6, "DP02_0114E": 1195.0, "DP02_0114PE": 8.4, "DP05_0037E": 12659.0, "DP05_0037PE": 86.0, "DP05_0038E": 329.0, "DP05_0038PE": 2.2, "DP05_0044E": 600.0, "DP05_0044PE": 4.1, "DP05_0070E": 14718.0, "DP05_0070PE": 14718.0, "zip code tabulation area": "53228"}
53224	{"DP02_0068E": 3283.0, "DP02_0068PE": 25.4, "DP03_0063E": 70320.0, "DP02_0113E": 17414.0, "DP02_0113PE": 87.1, "DP02_0114E": 2590.0, "DP02_0114PE": 12.9, "DP05_0037E": 5200.0, "DP05_0037PE": 23.3, "DP05_0038E": 13513.0, "DP05_0038PE": 60.5, "DP05_0044E": 1373.0, "DP05_0044PE": 6.2, "DP05_0070E": 22320.0, "DP05_0070PE": 22320.0, "zip code tabulation area": "53224"}
53220	{"DP02_0068E": 4675.0, "DP02_0068PE": 23.2, "DP03_0063E": 77160.0, "DP02_0113E": 20579.0, "DP02_0113PE": 81.0, "DP02_0114E": 4821.0, "DP02_0114PE": 19.0, "DP05_0037E": 21654.0, "DP05_0037PE": 79.5, "DP05_0038E": 920.0, "DP05_0038PE": 3.4, "DP05_0044E": 1217.0, "DP05_0044PE": 4.5, "DP05_0070E": 27224.0, "DP05_0070PE": 27224.0, "zip code tabulation area": "53220"}
53222	{"DP02_0068E": 7133.0, "DP02_0068PE": 40.2, "DP03_0063E": 72262.0, "DP02_0113E": 22738.0, "DP02_0113PE": 94.7, "DP02_0114E": 1262.0, "DP02_0114PE": 5.3, "DP05_0037E": 15200.0, "DP05_0037PE": 57.7, "DP05_0038E": 8676.0, "DP05_0038PE": 32.9, "DP05_0044E": 424.0, "DP05_0044PE": 1.6, "DP05_0070E": 26340.0, "DP05_0070PE": 26340.0, "zip code tabulation area": "53222"}
53202	{"DP02_0068E": 12805.0, "DP02_0068PE": 64.8, "DP03_0063E": 82714.0, "DP02_0113E": 21982.0, "DP02_0113PE": 89.5, "DP02_0114E": 2591.0, "DP02_0114PE": 10.5, "DP05_0037E": 19677.0, "DP05_0037PE": 78.8, "DP05_0038E": 2303.0, "DP05_0038PE": 9.2, "DP05_0044E": 1488.0, "DP05_0044PE": 6.0, "DP05_0070E": 24967.0, "DP05_0070PE": 24967.0, "zip code tabulation area": "53202"}
53214	{"DP02_0068E": 6332.0, "DP02_0068PE": 24.2, "DP03_0063E": 59940.0, "DP02_0113E": 28738.0, "DP02_0113PE": 86.2, "DP02_0114E": 4599.0, "DP02_0114PE": 13.8, "DP05_0037E": 27407.0, "DP05_0037PE": 77.8, "DP05_0038E": 2593.0, "DP05_0038PE": 7.4, "DP05_0044E": 758.0, "DP05_0044PE": 2.2, "DP05_0070E": 35210.0, "DP05_0070PE": 35210.0, "zip code tabulation area": "53214"}
53217	{"DP02_0068E": 14061.0, "DP02_0068PE": 71.0, "DP03_0063E": 157364.0, "DP02_0113E": 23596.0, "DP02_0113PE": 88.3, "DP02_0114E": 3126.0, "DP02_0114PE": 11.7, "DP05_0037E": 22741.0, "DP05_0037PE": 80.1, "DP05_0038E": 2256.0, "DP05_0038PE": 7.9, "DP05_0044E": 1838.0, "DP05_0044PE": 6.5, "DP05_0070E": 28398.0, "DP05_0070PE": 28398.0, "zip code tabulation area": "53217"}
53233	{"DP02_0068E": 1124.0, "DP02_0068PE": 20.4, "DP03_0063E": 25522.0, "DP02_0113E": 12343.0, "DP02_0113PE": 86.6, "DP02_0114E": 1916.0, "DP02_0114PE": 13.4, "DP05_0037E": 7917.0, "DP05_0037PE": 53.3, "DP05_0038E": 5003.0, "DP05_0038PE": 33.7, "DP05_0044E": 870.0, "DP05_0044PE": 5.9, "DP05_0070E": 14850.0, "DP05_0070PE": 14850.0, "zip code tabulation area": "53233"}
53226	{"DP02_0068E": 7916.0, "DP02_0068PE": 57.5, "DP03_0063E": 97540.0, "DP02_0113E": 16307.0, "DP02_0113PE": 90.9, "DP02_0114E": 1625.0, "DP02_0114PE": 9.1, "DP05_0037E": 15896.0, "DP05_0037PE": 83.7, "DP05_0038E": 977.0, "DP05_0038PE": 5.1, "DP05_0044E": 1031.0, "DP05_0044PE": 5.4, "DP05_0070E": 18985.0, "DP05_0070PE": 18985.0, "zip code tabulation area": "53226"}
53227	{"DP02_0068E": 4885.0, "DP02_0068PE": 27.5, "DP03_0063E": 66179.0, "DP02_0113E": 20077.0, "DP02_0113PE": 88.7, "DP02_0114E": 2547.0, "DP02_0114PE": 11.3, "DP05_0037E": 18943.0, "DP05_0037PE": 79.0, "DP05_0038E": 1551.0, "DP05_0038PE": 6.5, "DP05_0044E": 1086.0, "DP05_0044PE": 4.5, "DP05_0070E": 23975.0, "DP05_0070PE": 23975.0, "zip code tabulation area": "53227"}
53203	{"DP02_0068E": 924.0, "DP02_0068PE": 69.3, "DP03_0063E": 89865.0, "DP02_0113E": 1584.0, "DP02_0113PE": 91.7, "DP02_0114E": 143.0, "DP02_0114PE": 8.3, "DP05_0037E": 1435.0, "DP05_0037PE": 82.3, "DP05_0038E": 144.0, "DP05_0038PE": 8.3, "DP05_0044E": 79.0, "DP05_0044PE": 4.5, "DP05_0070E": 1743.0, "DP05_0070PE": 1743.0, "zip code tabulation area": "53203"}
53235	{"DP02_0068E": 2301.0, "DP02_0068PE": 29.5, "DP03_0063E": 67776.0, "DP02_0113E": 8315.0, "DP02_0113PE": 90.5, "DP02_0114E": 875.0, "DP02_0114PE": 9.5, "DP05_0037E": 8326.0, "DP05_0037PE": 87.1, "DP05_0038E": 241.0, "DP05_0038PE": 2.5, "DP05_0044E": 151.0, "DP05_0044PE": 1.6, "DP05_0070E": 9555.0, "DP05_0070PE": 9555.0, "zip code tabulation area": "53235"}
53295	{"DP02_0068E": 22.0, "DP02_0068PE": 13.0, "DP03_0063E": -666666666.0, "DP02_0113E": 169.0, "DP02_0113PE": 100.0, "DP02_0114E": 0.0, "DP02_0114PE": 0.0, "DP05_0037E": 100.0, "DP05_0037PE": 59.2, "DP05_0038E": 49.0, "DP05_0038PE": 29.0, "DP05_0044E": 0.0, "DP05_0044PE": 0.0, "DP05_0070E": 169.0, "DP05_0070PE": 169.0, "zip code tabulation area": "53295"}
